minNT_veg,DTR_veg,minDT_rep,maxNT_rep,DTR_rep,minNT_sow2rep,R20mm_veg,Rtotal_veg,SDII_veg,MLDS_rep,Rx1day_rep,R95p_rep,R99p_rep,Rtotal_rep,SDII_rep,MLDS_gra,MLWS_gra,R20mm_sow2rep,R95p_sow2rep,Rtotal_sow2rep,MLDS_sow2gra,R10mm_sow2gra,R20mm_sow2gra,year,lat,lon,xy,yx,id
9.85,10.208428571428572,23.25,12.73,14.284799999999999,9.49,0,272.56,4.25875,21,1.3,2.33,1.3,5.17,1.034,14,3,0,46.15,273.11,21,3,0,2014,8.949277778,39.18211111,48.131388888000004,30.232833332,1
13.07,9.669142857142857,20.34,14.45,10.6892,11.2,0,306.19,3.9764935064935063,6,12.65,21.439999999999998,12.65,80.09,4.4494444444444445,21,3,0,46.15,354.93,21,3,0,2014,8.948416667,39.19208333,48.140499997000006,30.243666663000003,2
11.2,9.691369863013698,22.34,14.01,12.805,9.85,0,318.41,4.361780821917809,15,7.99,13.42,7.99,24.31,3.472857142857143,13,3,0,54.14,321.87,21,3,0,2014,8.951138889,39.17983333,48.130972219,30.228694441000002,3
12.49,9.614871794871794,21.81,14.01,11.8225,10.08,0,353.91,4.6567105263157895,10,12.65,21.439999999999998,12.65,52.76,4.3966666666666665,18,3,0,54.14,358.33,21,3,0,2014,8.957694444,39.17716667,48.134861113999996,30.219472226,4
12.49,9.583285714285715,21.81,14.01,11.9108,10.08,0,316.85,4.169078947368422,11,12.65,21.439999999999998,12.65,52.77,4.797272727272728,17,3,0,46.15,321.65,21,3,0,2014,8.964388889,39.18152778,48.145916669,30.217138891000005,7
13.07,9.609285714285715,20.34,14.45,10.8516,10.08,0,315.57,4.098311688311688,6,12.65,21.439999999999998,12.65,77.62,4.565882352941177,21,3,0,46.15,343.44,21,3,0,2014,8.94875,39.19233333,48.14108333,30.243583329999996,8
9.85,10.229452054794521,23.25,12.73,14.333846153846153,9.49,0,284.9,4.4515625,21,1.3,2.33,1.3,5.180000000000001,1.2950000000000002,14,3,0,54.14,285.46,21,3,0,2014,8.951,39.17905556,48.13005556,30.22805556,9
10.08,9.990142857142857,23.25,12.73,13.960799999999999,9.85,0,291.85,4.2297101449275365,19,1.03,1.84,1.03,5.58,1.395,14,3,0,46.15,292.62,21,3,0,2014,8.947583333,39.19219444,48.139777773000006,30.244611107,10
9.85,10.297857142857143,23.72,12.73,14.4996,9.19,0,263.98,4.257741935483871,20,1.3,2.1100000000000003,1.3,3.99,0.9975,14,3,0,46.15,264.54,21,3,0,2014,8.945361111,39.18972222,48.135083331000004,30.244361109,11
10.08,9.72835616438356,22.43,14.01,13.06076923076923,9.85,0,311.73,4.329583333333334,16,5.43,9.03,5.43,16.36,2.7266666666666666,12,3,0,54.14,315.16,21,3,0,2014,8.960138889,39.18011111,48.140249999,30.219972221,12
9.49,10.718333333333334,23.86,12.88,14.57625,9.06,0,269.58,4.901454545454545,13,1.3,2.5,1.3,5.5600000000000005,0.9266666666666667,14,3,0,54.14,271.21,21,3,0,2014,8.946444444,39.17777778,48.124222224,30.231333336,13
10.08,9.862987012987013,23.25,13.13,13.818076923076923,9.85,0,320.33,4.576142857142857,19,1.03,1.84,1.03,5.98,1.9933333333333334,14,3,0,54.14,321.91,21,3,0,2014,8.965694444,39.17575,48.141444444,30.210055556,15
10.08,10.070714285714285,23.25,12.73,14.1676,9.85,0,284.68,4.248955223880597,21,1.03,1.84,1.03,4.74,1.185,14,3,0,46.15,285.3,21,3,0,2014,8.968888889,39.16294444,48.131833328999996,30.194055550999998,16
12.82,9.504415584415584,20.34,14.43,11.214615384615385,10.08,0,369.90999999999997,4.804025974025974,8,12.65,21.439999999999998,12.65,73.64,5.26,20,3,0,61.589999999999996,384.2,21,5,0,2014,8.720805556,39.21219444,47.932999996,30.491388883999996,18
13.07,9.609428571428571,20.34,14.63,10.2104,12.49,0,317.11,4.118311688311689,6,12.65,21.439999999999998,12.65,87.82,4.181904761904762,21,3,0,51.48,380.32,21,5,0,2014,8.728361111,39.20347222,47.931833331,30.475111109000004,19
13.07,9.571780821917809,20.34,14.63,10.331923076923077,12.49,0,331.1,4.300000000000001,6,12.65,21.439999999999998,12.65,88.27,4.4135,21,3,0,61.589999999999996,394.71,21,5,0,2014,8.726166667,39.24394444,47.970111107,30.517777773,21
13.07,9.590571428571428,20.34,14.63,10.1644,12.49,0,314.59,4.085584415584416,6,12.65,21.439999999999998,12.65,92.09,4.385238095238096,21,3,0,51.48,381.43,21,5,0,2014,8.732361111,39.20638889,47.938750001,30.474027779,23
13.07,9.609428571428571,20.34,14.63,10.2104,12.49,0,317.11,4.118311688311689,6,12.65,21.439999999999998,12.65,87.82,4.181904761904762,21,3,0,51.48,380.32,21,5,0,2014,8.723444444,39.20911111,47.932555554000004,30.485666666,27
13.07,9.590571428571428,20.34,14.63,10.1644,12.49,0,314.59,4.085584415584416,6,12.65,21.439999999999998,12.65,92.09,4.385238095238096,21,3,0,51.48,381.43,21,5,0,2014,8.730555556,39.21219444,47.942749995999996,30.481638884,28
13.07,9.557808219178082,20.34,14.63,10.436538461538461,12.32,0,330.21,4.2884415584415585,6,12.65,21.439999999999998,12.65,87.34,4.596842105263158,21,3,0,61.589999999999996,386.42,21,5,0,2014,8.730583333,39.211,47.941583333,30.480416667,29
12.82,9.502435897435898,20.34,14.45,10.839583333333334,10.08,0,367.1,4.767532467532468,6,12.65,21.439999999999998,12.65,75.14,4.42,21,3,0,61.589999999999996,387.49,21,5,0,2014,8.727333333,39.21486111,47.942194443000005,30.487527777,30
13.07,9.531538461538462,20.34,14.62,10.324583333333333,12.49,0,353.7,4.593506493506493,6,12.65,21.439999999999998,12.65,83.3,4.165,21,1,0,61.589999999999996,407.63,21,5,0,2014,8.727833333,39.20744444,47.935277773,30.479611107000004,31
13.07,9.502337662337663,20.34,14.45,10.956538461538461,10.08,0,359.62,4.67038961038961,6,12.65,21.439999999999998,12.65,77.67,4.854375,21,3,0,61.589999999999996,387.9,21,5,0,2014,8.7305,39.24066667,47.97116667,30.510166670000004,32
13.07,9.590571428571428,20.34,14.63,10.1644,12.49,0,314.59,4.085584415584416,6,12.65,21.439999999999998,12.65,92.09,4.385238095238096,21,3,0,51.48,381.43,21,5,0,2014,8.733388889,39.20094444,47.934333329,30.467555551,33
13.07,9.609428571428571,20.34,14.63,10.2104,12.49,0,317.11,4.118311688311689,6,12.65,21.439999999999998,12.65,87.82,4.181904761904762,21,3,0,51.48,380.32,21,5,0,2014,8.786638889,39.24272222,48.029361109,30.456083330999995,34
